"","item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_31","item_32","item_33","item_34","item_35","item_36","item_37","item_38","item_39","item_40","item_41","item_42","item_43","item_44","item_45","item_46","item_47","item_48","item_49","item_50","item_51","item_52","item_53","item_54","item_55","item_56","item_57","item_58","item_59","item_60","item_61","item_62","item_63","item_64","item_65","item_66","item_67","item_68","item_69","item_70","item_71","item_72","item_73","item_74","item_75","item_76","item_77","item_78","item_79","item_80","item_81","item_82","item_83","item_84","item_85","item_86","item_87","item_88","item_89","item_90","item_91","item_92","item_93","item_94","item_95","item_96","item_97","item_98","item_99","item_100","item_101","item_102","item_103"
"respondent_1",4,1,2,4,2,4,1,1,2,3,1,3,1,2,4,4,4,4,1,1,4,2,2,1,2,4,4,3,2,NA,3,1,2,1,4,1,2,3,2,4,2,4,1,NA,1,2,3,3,3,3,2,3,3,2,2,1,1,4,2,NA,NA,3,3,2,3,4,2,2,4,2,4,1,1,3,1,3,4,1,1,4,2,4,4,1,3,1,4,4,2,4,4,4,2,4,3,2,3,4,1,3,1,3,3
"respondent_2",4,1,2,4,3,4,3,3,2,2,3,4,2,2,4,2,4,1,1,1,4,2,3,3,3,3,4,2,1,1,2,4,4,3,4,2,3,3,2,1,2,2,1,2,1,2,4,3,3,3,3,3,3,1,1,3,1,2,2,1,4,1,3,1,4,4,3,4,2,3,4,3,3,3,2,3,4,4,4,4,2,4,4,2,3,1,4,4,4,4,4,3,4,3,1,2,4,3,1,2,1,NA,4
"respondent_3",1,1,2,4,3,2,1,3,4,2,3,4,3,2,4,4,4,4,1,1,4,2,2,3,2,4,4,3,4,1,2,4,4,3,4,2,1,1,2,1,2,4,1,2,1,2,2,3,4,3,3,3,3,1,2,3,1,1,2,1,4,3,3,4,4,4,3,4,2,2,4,2,1,3,2,3,4,1,4,4,2,1,4,2,3,1,NA,4,2,4,4,4,1,4,NA,2,4,3,1,2,4,2,3
"respondent_4",1,1,2,4,3,NA,1,2,2,2,4,4,3,2,4,2,4,4,1,4,4,2,2,3,2,4,4,3,1,1,2,4,4,1,4,1,1,1,1,3,1,4,3,4,NA,2,2,3,3,3,1,3,3,4,1,3,1,1,4,1,4,3,3,4,4,4,1,4,2,2,4,2,1,3,2,3,4,1,4,4,2,4,1,2,3,1,1,4,4,4,4,1,4,NA,4,2,4,3,1,2,2,2,4
"respondent_5",1,1,1,4,1,4,1,3,2,2,3,3,3,2,3,3,4,4,2,1,NA,4,2,3,1,4,4,4,1,3,2,4,4,3,4,3,1,1,3,1,1,4,2,2,4,2,4,3,3,1,4,2,3,1,3,3,1,1,2,NA,4,2,3,4,1,2,3,4,2,2,2,4,1,3,1,3,1,1,4,4,2,4,NA,2,3,3,4,2,4,2,2,4,1,3,4,2,4,3,1,2,1,2,3
"respondent_6",1,4,2,4,1,3,1,2,2,4,1,3,2,3,NA,3,4,4,3,1,1,2,2,2,2,4,4,4,3,1,1,2,2,NA,4,1,1,4,2,1,2,4,1,2,1,NA,4,2,1,3,4,3,3,4,2,3,1,1,4,1,2,1,4,4,4,4,2,3,2,3,3,1,2,3,3,2,1,3,NA,1,2,4,4,3,3,2,2,3,2,3,4,2,1,1,4,1,4,4,4,4,4,2,3
"respondent_7",1,NA,4,4,1,4,1,NA,2,2,3,4,3,2,2,2,4,4,3,NA,4,2,2,2,2,4,4,2,1,NA,2,4,4,2,1,2,1,1,2,4,3,4,3,2,1,2,2,NA,3,2,4,3,3,4,2,3,1,4,2,1,4,1,1,4,4,4,3,4,2,2,4,4,1,1,2,1,3,1,4,4,2,4,3,4,4,3,4,4,2,4,4,4,1,4,4,2,4,4,1,3,4,2,4
"respondent_8",1,1,2,4,3,4,1,3,2,1,4,4,3,3,4,2,3,3,1,4,4,3,2,2,2,4,4,3,1,1,2,4,4,3,1,2,NA,1,2,2,1,1,2,1,1,4,4,2,3,3,4,3,3,1,2,3,1,1,2,1,2,2,4,1,4,3,3,2,2,2,4,2,4,3,2,2,4,4,4,4,2,4,4,2,2,1,4,NA,2,4,3,1,1,4,4,4,2,4,4,1,1,4,1
"respondent_9",1,1,4,4,2,4,1,3,2,2,2,3,1,2,1,2,4,4,1,1,4,2,1,4,4,4,4,2,1,4,1,1,1,3,4,2,NA,1,2,4,3,4,1,3,1,3,4,3,3,3,3,3,3,1,2,2,2,1,2,4,4,3,2,1,4,NA,2,4,2,2,4,2,1,NA,2,1,4,1,4,1,1,4,4,2,3,3,4,4,4,4,1,4,1,1,4,2,4,3,1,2,4,2,4
"respondent_10",1,1,2,NA,3,1,1,2,2,2,3,4,3,1,4,2,1,4,1,1,1,NA,2,3,2,1,4,3,4,1,2,4,2,3,4,2,1,NA,1,1,2,3,1,2,4,2,2,3,3,3,3,3,3,1,2,1,1,1,2,1,4,3,3,4,4,4,2,1,2,2,4,2,1,3,2,3,4,2,4,4,1,4,4,3,3,1,4,4,2,4,1,2,1,1,4,2,3,3,2,NA,4,2,3
